Variable,Description
spfhmin2m,Minimum specific humidity at 2m
spfhmax2m,Maximum specific humidity at 2m
u10mmax,Maximum (magnitude) u-wind at 10m above ground level (AGL)
v10mmax,Maximum (magnitude) v-wind at 10m AGL
wind10mmax,Maximum wind speed at 10m AGL
u10max,Hourly maximum (magnitude) u-wind
v10max,Hourly maximum (magnitude) v-wind
spd10max,Hourly maximum wind speed
t02max,Maximum hourly temperature at 2 meters
t02min,Minimum hourly temperature at 2 meters
rh02max,Maximum hourly relative humidity at 2 meters
rh02min,Minimum hourly relative humidity at 2 meters
pratemax,Maximum hourly precipitation rate
frzr,Accumulated surface freezing rain
frzrb,Accumulated surface freezing rain in bucket
frozr,Accumulated surface graupel
frozrb,Accumulated surface graupel in bucket
tsnowp,Accumulated surface snow
tsnowpb,Accumulated surface snow in bucket
rhonewsn,Precipitation ice density
rain,Total rain at this time step
rainc,Convective rain at this time step
ice,Ice fall at this time step
snow,Snow fall at this time step
graupel,Graupel fall at this time step
totice_ave,Surface ice precipitation rate
toticeb_ave,Bucket surface ice precipitation rate
totsnw_ave,Surface snow precipitation rate
totsnwb_ave,Bucket surface snow precipitation rate
totgrp_ave,Surface graupel precipitation rate
totgrpb_ave,Bucket surface graupel precipitation rate
sfcdlw,Total sky to surface downward longwave flux
htrlw,Total sky longwave heating rate
lwhc,Clear sky longwave heating rate
u10m,10 meter u wind
v10m,10 meter v wind
dpt2m,2 meter dewpoint temperature
hgt_hyblev1,Layer 1 height
psurf,Surface pressure
hpbl,Surface planetary boundary layer height
pwat,Atmosphere column precipitable water
tmp_hyblev1,Layer 1 temperature
spfh_hyblev1,Layer 1 specific humidity
ugrd-hyblev1,Layer 1 zonal wind
vgrd-hyblev1,Layer 1 meridional wind
sfexc,Exchange coefficient
acond,Aerodynamic conductance
dlwsfci,Instantaneous surface downward longwave flux
ulwsfci,Instantaneous surface upward longwave flux
dswsfci,Instantaneous surface downward shortwave flux
uswsfci,Instantaneous surface upward shortwave flux
dusfci,Instantaneous u component of surface stress
dvsfci,Instantaneous v component of surface stress
shtfl,Instantaneous surface sensible heat net flux
lhtfl,Instantaneous surface latent heat net flux
gfluxi,Instantaneous surface ground heat flux
wilt,Wilting point (volumetric)
fldcp,Field capacity (volumetric)
pahi,Instantaneous precipitation advected heat flux
pevpr,Instantaneous surface potential evaporation
wet1,Normalized soil wetness
cpofp,Precent frozen precipitation
crain_ave,Averaged categorical rain
csnow_ave,Averaged categorical snow
cfrzr_ave,Averaged categorical freezing rain
cicep_ave,Averaged categorical sleet
refl_10cm,Radar reflectivity
max_hail_diam_sfc,Maximum hail diameter at lowest model level
dkt,Atmospheric heat diffusivity
dku,Atmospheric momentum diffusivity
cldfra,Instantaneous 3D cloud fraction
cnvw,Subgrid scale convective cloud water
skebu_wts,Perturbation velocity - u component
skebv_wts,Perturbation velocity - v component
zmtnblck,Level of dividing streamline
refdmax,Max hourly 1-kilometer above ground level reflectivity
refdmax263k,Max hourly -10C reflectivity
sppt_wts,Perturbation velocity (from the SPPT `stochastic physics <https://stochastic-physics.readthedocs.io/en/latest/users_guide.html>`_ scheme)
shum_wts,Perturbation velocity (from the SHUM `stochastic physics <https://stochastic-physics.readthedocs.io/en/latest/users_guide.html>`_ scheme)
spp_wts_pbl,Stochastically perturbed parameterization weights (magnitude) - planetary boundary layer
spp_wts_sfc,Stochastically perturbed parameterization weights (magnitude) - surface physics

spp_wts_mp,Stochastically perturbed parameterization weights (magnitude) - microphysics
spp_wts_gwd,Stochastically perturbed parameterization - gravity wave drag
spp_wts_rad,Stochastically perturbed parameterization weights (magnitude) - radiation
spp_wts_cu_deep,Stochastically perturbed parameterization weights (magnitude) for deep convection
sfc_wts,Perturbation amplitude
ca1,Cellular automata
ca_deep,Cellular automaton deep convection
ca_turb,Cellular automaton turbulence
ca_shal,Cellular automaton shallow convection
ca_rad,Cellular automaton radiation
ca_micro,Cellular automaton microphysics
lakefrac,Lake fraction
lakedepth,Lake depth
T_snow,Temperature of snow on a lake
T_ice,Temperature of ice on a lake
use_lake_model,Lake model flag
lake_is_salty,Lake point is considered salty by CLM lake model
lake_cannot_freeze,CLM lake model considers the point to be so salty it cannot freeze
lake_t2m,Temperature at 2 meters from lake model
lake_q2m,2m specific humidity from lake model
lake_albedo,Mid-day surface albedo over lake
lake_h2osno2d,Water equivalent of accumulated snow depth over lake
lake_sndpth2d,Actual accumulated snow depth over lake in CLM lake model
lake_snl2d,Snow layers in CLM lake model (treated as integer)
lake_tsfc,Skin temperature from CLM lake model
lake_savedtke12d,Top level eddy conductivity from previous timestep in CLM lake model
lake_ht,Lake height
zmtb,Height of dividing streamline
zogw,Height of orographic gravity wave (OGW) launch
zlwb,Height of low-level wave breaking
tau_ogw,Orographic gravity wave vertical momentum flux at launch level
tau_mtb,Orographic mountain blocking integrated flux from surface
tau_tofd,Turbulent orographic form drag integrated flux from surface
tau_ngw,Non-stationary gravity waves momentum flux at launch level
du3dt_pbl_ugwp,U-tendency due to planetary boundary layer physics
dv3dt_pbl_ugwp,V-tendency due to planetary boundary layer physics
dt3dt_pbl_ugwp,T-tendency due to planetary boundary layer physics
uav_ugwp,U-daily mean for unified gravity wave physics
tav_ugwp,T-daily mean for unified gravity wave physics
du3dt_ogw,Averaged E-W orographic gravity wave tendency
du3dt_ngw,Averaged E-W non-stationary gravity waves tendency
du3dt_mtb,Averaged E-W mountain blocking tendency
du3dt_tms,Averaged E-W turbulent orographic form drag tendency
dudt_tot,Averaged E-W dycore-tendency
dtdt_tot,Averaged temperature dycore-tendency
dudt_ogw,X wind tendency from mesoscale orographic gravity wave form drag
dvdt_ogw,Y wind tendency from mesoscale orographic gravity wave form drag
dudt_obl,X wind tendency from blocking drag
dvdt_obl,Y wind tendency from blocking drag
du_ogwcol,Integrated x momentum flux from mesoscale orographic gravity wave
dv_ogwcol,Integrated y momentum flux from mesoscale orographic gravity wave
du_oblcol,Integrated x momentum flux from blocking drag
dv_oblcol,Integrated y momentum flux from blocking drag
dws3dt_ogw,Averaged wind speed tendency due to mesoscale gravity wave drag
dws3dt_obl,Averaged wind speed tendency due to blocking drag
dudt_oss,X wind tendency from small scale gravity wave drag
dvdt_oss,Y wind tendency from small scale gravity wave drag
dudt_ofd,X wind tendency from form drag
dcdt_ofd,Y wind tendency from form drag
dws3dt_oss,Averaged wind speed tendency due to small-scale gravity wave drag
dws3dt_ofd,Averaged wind speed tendency due to turbulent orographic form drag
ldu3dt_ogw,Averaged x wind tendency due to mesoscale orographic gravity wave drag
ldu3dt_obl,Averaged x wind tendency due to blocking drag
ldu3dt_ofd,Averaged x wind tendency due to form drag
ldu3dt_oss,Averaged x wind tendency due to small-scale gravity wave drag
du_osscol,Integrated x momentum flux from small-scale gravity wave drag
dv_osscol,Integrated y momentum flux from small-scale gravity wave drag
du_ofdcol,Integrated x momentum flux from form drag
dv_ofdcol,Integrated y momentum flux from form drag
du3_ogwcol,Time averaged surface x momentum flux from mesoscale orographic gravity wave drag
dv3_ogwcol,Time averaged surface y momentum flux from mesoscale orographic gravity wave drag
du3_oblcol,Time averaged surface x momentum flux from blocking drag
dv3_oblcol,Time averaged surface y momentum flux from blocking drag
du3_osscol,Time averaged surface x momentum flux from small-scale gravity wave drag
dv3_osscol,Time averaged surface y momentum flux from small-scale gravity wave drag
du3_ofdcol,Time averaged surface x momentum flux from form drag
dv3_ofdcol,Time averaged surface y momentum flux from form drag
ldu3dt_ngw,Time averaged u momentum tendency due to non-stationary gravity wave drag
ldv3dt_ngw,Time averaged v momentum tendency due to non-stationary gravity wave drag
ldt3dt_ngw,Time averaged temperature tendency due to non-stationary gravity wave drag
upd_mf,Updraft convective mass flux
dwn_mf,Downdraft convective mass flux
det_mf,Detrainment convective mass flux
alnsf,Mean near-infrared albedo with strong cos(z) dependency
alnwf,Mean near-infrared albedo with weak cos(z) dependency
alvsf,Mean visible albedo with strong cos(z) dependency
alvwf,Mean visible albedo with weak cos(z) dependency
canopy,Canopy water (``cnwat`` in GFS data)
f10m,10-meter wind speed divided by lowest model wind speed
facsf,Fractional coverage with strong cos(z) dependency
facwf,Fractional coverage with weak cos(z) dependency
ffhh,FH parameter from planetary boundary layer scheme
ffmm,FM parameter from planetary boundary layer scheme
uustar,U-uStar surface frictional wind
slope,Surface slope type
fice,Surface ice concentration (ice=1; no ice=0)
hice,Sea ice thickness (``icetk`` in ``gfs_data``)
snoalb,Maximum snow albedo in fraction
shdmax,Maximum fractional coverage of green vegetation
shdmin,Minimum fractional coverage of green vegetation
snowd,Surface snow depth
sbsno,Instantaneous sublimation (evaporation from snow)
evbs,Instantaneous direct evaporation over land
evcw,Instantaneous canopy evaporation
trans,Instantaneous transpiration
sfalb,Surface albedo over land
rhofr,Density of frozen precipitation
snowfall_acc_land,Total accumulated frozen precipitation over land
acsnow_land,Total accumulated SWE (snow water equivalent) of frozen precipitation over land
snowmt_land,Accumulated snow melt over land
snowfall_acc_ice,Total accumulated frozen precipitation over ice
acsnow_ice,Total accumulated SWE (snow water equivalent) of frozen precipitaton over ice
snowmt_ice,Accumulated snow melt over ice
crain,Instantaneous categorical rain
stype,Soil type in integer 1-9
scolor,Soil color in integer 1-20
lfrac,Land fraction
q2m,2 meter specific humidity
t2m,2 meter temperature
tsfc,Surface temperature
usfco,Surface zonal current
vsfco,Surface meridional current
tiice,Internal ice temperature layer
tg3,Deep soil temperature
tisfc,Surface temperature over ice fraction
tprcp,Total time-step precipitation
vtype,Vegetation type in integer
weasd,Surface snow water equivalent
weasdi,Surface snow water equivalent over ice
snodi,Snow depth over ice
hgtsfc,Surface geopotential height
slmsksfc,"Sea-land-ice mask (0-sea, 1-land, 2-ice)"
zorlsfc,Surface roughness
vfracsfc,Vegetation fraction
wetness,Soil moisture availability in top soil layer
nirbmdi,Surface near infrared beam shortwave downward flux
nirdfdi,Surface near infrared differential shortwave downward flux
visbmdi,Surface uv+visible beam shortwave downward flux
visdfdi,Surface uv+visible differential shortwave downward flux
xlaixy,Leaf area index
vfrac,Fraction of vegetation category
sfrac,Fraction of soil category
slc,Liquid soil moisture
soill,Liquid soil moisture
soilw,Volumetric soil moisture
soilt,Soil temperature
tref, Near Sea Surface Temperature (NSST) reference or foundation temperature
z_c,NSST sub-layer cooling thickness
c_0,NSST coefficient1 to calculate d(tz)/d(ts)
c_d,NSST coefficient2 to calculate d(tz)/d(ts)
w_0,NSST coefficient3 to calculate d(tz)/d(ts)
w_d,NSST coefficient4 to calculate d(tz)/d(ts)
xt,NSST heat content in diurnal thermocline layer
xs,NSST salinity content in diurnal thermocline layer
xu,NSST u-current content in diurnal thermocline layer
xv,NSST v-current content in diurnal thermocline layer
xz,NSST diurnal thermocline layer thickness
zm,NSST mixed layer thickness
xtts,NSST d(xt)/d(ts)
xzts,NSST d(xz)/d(ts)
d_conv,NSST thickness of free convection layer
ifd,NSST index to start diurnal thermocline layer model (DTLM) run or not
dt_cool,NSST sub-layer cooling amount
qrain,NSST sensible heat flux due to rainfall
nwfa,Number concentration of water-friendly aerosols
nwfa2d,Water-friendly surface aerosol source
nifa,Number concentration of ice-friendly aerosols
nifa2d,Ice-friendly surface aerosol source
thompson_diag3d,Thompson extended diagnostics array
fire_heat,Surface fire heat flux
burned,Ratio of the burnt area to the grid cell area
emdust,Emission of fine dust for smoke
emseas,Emission of sea salt for smoke
emanoc,Anthropogenic organic carbon (anoc) emission for Thompson microphysics
coef_bb_dc,Coefficient bb for smoke
min_fplume,Minimum smoke plume height
max_fplume,Maximum smoke plume height
HWP,Hourly fire weather potential
HWP_ave,Averaged fire weather potential
uspdavg,Boundary layer average wind speed
hpbl_thetav,Boundary layer depth modified parcel method
drydep_smoke,Dry deposition smoke
drydep_dust,Dry deposition dust
drydep_coarsepm,Dry deposition coarse pm
wetdpr_smoke,Resolved wet deposition smoke
wetdpr_dust,Resolved wet deposition dust
wetdpr_coarsepm,Resolved wet deposition coarse particulate matter
wetdpc_smoke,Convective wet deposition smoke
wetdpc_dust,Convective wet deposition dust
wetdpc_coarsepm,Convective wet deposition coarse particulate matter
peak_hr,Hour of peak smoke emissions
fire_type,Fire type
lu_nofire,Land use (lu) nofire pixes
lu_qfire,Land use (lu) qfire pixes
fhist,Coefficient to scale the fire activity depending on the fire duration
fire_end_hr,Hours since fire was last detected
ebb_smoke_in,Input smoke emission
frp_output,Output fire radiative power
ebb_rate,Total EBB carbon emissions
frp_davg,Daily mean fire radiative power
hwp_davg,Daily mean hourly wildfire potential
ebu_smoke,Smoke emission
ext550,3D total extinction at 550nm
radar_tten,Temperature tendency due to digital filter initialization (DFI) radar tendencies
ltg1_max,Max lightning threat 1
ltg2_max,Max lightning threat 2
ltg3_max,Max lightning threat 3
cleffr,Effective radius of cloud liquid water particle in micrometers
cieffr,Effective radius of stratiform cloud ice particle in micrometers
cseffr,Effective radius of stratiform cloud snow particle in micrometers
ztop_plume,Height of highest plume
maxmf,Maximum mass-flux in column
maxwidth,Maximum width of plumes in grid column
zol,Monin-Obukhov surface stability parameter
flhc,Surface exchange coefficient for heat
flqc,Surface exchange coefficient for moisture
CLDFRA_BL,Subgrid cloud fraction
QC_BL,Subgrid cloud mixing ratio
EL_PBL,Turbulent mixing length
QKE,2 X TKE (Turbulent Kinetic Energy) (from MYNN)
edmf_a,Updraft area fraction (from MYNN)
edmf_w,Mean updraft vertical velocity (from MYNN)
edmf_qt,Updraft total water (from MYNN)
edmf_thl,Mean liquid potential temperature (from MYNN)
edmf_ent,Updraft entrainment rate (from MYNN)
edmf_qc,Mean updraft liquid water (from MYNN)
sub_thl,Subsidence temperature tendency (from MYNN)
sub_sqv,Subsidence water vapor tendency (from MYNN)
det_thl,Detrainment temperature tendency (from MYNN)
det_sqv,Detrainment water vapor tendency (from MYNN)
aux2d,Auxiliary 2D array
aux3d,Auxiliary 3D array
lake_snow_z3d,Lake snow level depth
lake_snow_dz3d,Lake snow level thickness
lake_snow_zi3d,Lake snow interface depth
lake_h2osoi_vol3d,Volumetric soil water
lake_h2osoi_liq3d,Soil liquid water content
lake_h2osoi_ice3d,Soil ice water content
lake_t_soisno3d,Snow or soil level temperature
lake_t_lake3d,Lake layer temperature
lake_icefrac3d,Lake fractional ice cover
